Company,Executive,Title,Since,Notes,Updated,undergraduate_years,undergraduate_institute,undergraduate_major,undergraduate_minor,undergraduate_degree,undergraduate_note,master_years,master_institute,master_major,master_minor,master_degree,master_note,phd_years,phd_institute,phd_major,phd_minor,phd_degree,phd_note
NBCUniversal,Jeff Shell,CEO[93],2020,Previously was Chairman of NBCUniversal Film and Entertainment,2020/03/02,,,,,,,,,,,,,,,,,,
News Corp,Robert James Thomson,CEO[94],2013,Previously managing editor of The Wall Street Journal,2017/11/12,,,,,,,,,,,,,,,,,,
New York Times Company,Mark Thompson,President and CEO[95],2012,Succeeded Janet L. Robinson and was previously Director-General of the BBC,2017/11/12,,,,,,,,,,,,,,,,,,
NIIT,Vijay K. Thadani,Vice chairman and MD[96],1981,Co-founder,2017/11/12,,,,,,,,,,,,,,,,,,
Nike,Mark Parker,Chairman and CEO[97],2006,Third CEO of the company,2017/11/12,,,,,,,,,,,,,,,,,,
Nokia,Pekka Lundmark,President and CEO[98],2020,Previously President and CEO of Fortum,2020/08/16,,,,,,,,,,,,,,,,,,
Novartis,Vasant Narasimhan,CEO,2017,Former engineer for Public Service Enterprise Group,2017/11/12,,,,,,,,,,,,,,,,,,
Nintendo,Tatsumi Kimishima,Representative director and president[99],2015,Succeeded Satoru Iwata after his death,2017/11/12,,,,,,,,,,,,,,,,,,
Oath Inc.,Tim Armstrong,CEO[100],2009,"Oath is the parent to AOL, Armstrong was formerly with Google",2017/11/15,,,,,,,,,,,,,,,,,,
Oracle Corporation,Safra Catz,CEO[101],2014,Co-CEO following Larry Ellison,2017/11/12,,,,,,,,,,,,,,,,,,
Oracle Corporation,Mark Hurd,CEO[101],2014,Co-CEO following Larry Ellison; previously with Hewlett-Packard,2017/11/12,,,,,,,,,,,,,,,,,,
PepsiCo,Ramon Laguarta,CEO[102],2018,Succeeded Indra Nooyi who is still the Chairman until 2019.,2017-11-12[103],,,,,,,,,,,,,,,,,,
Pfizer,Albert Bourla,Chairman and CEO[104],01-Jan-19,Succeeded Jeff Kindler and Henry McKinnell,,,,,,,,,,,,,,,,,,,
Polo Ralph Lauren,Patrice Louvet,President and CEO[105],2017,Follows Stefan Larsson and Ralph Lauren,2017/11/12,,,,,,,,,,,,,,,,,,
Procter & Gamble,David S. Taylor,President and CEO[106],2015,Succeeded A.G. Lafley,2017/11/12,,,,,,,,,,,,,,,,,,
"Prudential Financial, Inc.",John Strangfeld,Chairman and CEO[107],2008,With the firm since 1977,2017/11/12,,,,,,,,,,,,,,,,,,
Qantas,Alan Joyce,CEO and MD[108],2008,Formerly with Aer Lingus and Ansett Australia,2017/11/12,,,,,,,,,,,,,,,,,,
Reliance Group,Anil Ambani,Chairman[109],2006,Son of founder Dhirubhai Ambani,2017/11/12,,,,,,,,,,,,,,,,,,
Reliance Industries Limited,Mukesh Ambani,Chairman and MD[110],2002,One of India's wealthiest people,2017/11/12,,,,,,,,,,,,,,,,,,
Renault,Luca de Meo,CEO[111],2005,Former CEO of Nissan,2017/11/12,,,,,,,,,,,,,,,,,,
Riovic,Phiwa Nkambule,CEO,2015,Previously founded Cybatar in 2014. Co-founded Riovic in 2015.,2018/07/19,,,,,,,,,,,,,,,,,,
Royal Bank of Canada,David I. McKay,President and CEO[112],2014,Succeeded Gordon Nixon,2017/11/12,,,,,,,,,,,,,,,,,,
Royal Bank of Scotland,Ross McEwan,CEO[113],2013,Succeeded Stephen Hester,2017/11/12,,,,,,,,,,,,,,,,,,
Royal Dutch Shell,Ben van Beurden,CEO[114],2014,"Joined Shell in 1983, succeeded Peter Voser",2017/11/12,,,,,,,,,,,,,,,,,,
Ryanair,Michael O'Leary,CEO[115],1994,One of Ireland's wealthiest businessmen,2017/11/12,,,,,,,,,,,,,,,,,,
S&P Global,Douglas L. Peterson,President & CEO,2013,,2018/10/01,,,,,,,,,,,,,,,,,,
S. C. Johnson & Son,Herbert Fisk Johnson III,Chairman and CEO[116],2004,Great-great grandson of company founder Samuel Curtis Johnson Sr.,2017/11/12,,,,,,,,,,,,,,,,,,
The Salvation Army,Brian Peddle,General and CEO[117],2018,Joined the organization in 1977,2018/08/13,,,,,,,,,,,,,,,,,,
Samsung,Oh-Hyun Kwon,Chairman and CEO[118],2012,Joined the firm in 1985,2017/11/12,,,,,,,,,,,,,,,,,,
SAP AG,Christian Klein,CEO[119],2019,Succeeding Bill McDermott in 2019,2019/11/18,,,,,,,,,,,,,,,,,,
SAS Institute,James Goodnight,CEO[120],1976,Founded the company after leaving North Carolina State University,2017/11/12,,,,,,,,,,,,,,,,,,
Schneider Electric,Jean-Pascal Tricoire,Chairman and CEO[121],2006,Replaced Henri Lachmann,2017/11/12,,,,,,,,,,,,,,,,,,
Siemens,Joe Kaeser,President and CEO[122],2013,Succeeds Peter Löscher,2017/11/12,,,,,,,,,,,,,,,,,,
Simon Property Group,David Simon,Chairman and CEO[123],1995,Son of founder and real estate developer Melvin Simon,2017/11/12,,,,,,,,,,,,,,,,,,
Singtel,Chua Sock Koong,Group CEO[124],2007,Joined the firm in 1989,2017/11/12,,,,,,,,,,,,,,,,,,
SoftBank,Masayoshi Son,Chairman and CEO[125],1981,"Founder of the firm, also chairman of Sprint Corporation",2017/11/12,,,,,,,,,,,,,,,,,,
Solera Holdings,Tony Aquila,Chairman and CEO[126],2005,Previously COO of Mitchell International,2017/11/12,,,,,,,,,,,,,,,,,,
Southwest Airlines,Gary C. Kelly,Chairman and CEO[127],2008,Replaced co-founder Herb Kelleher,2017/11/12,,,,,,,,,,,,,,,,,,
Sonic Corporation,J. Clifford Hudson,"Chairman, CEO and president[128]",1995,Also a trustee for the Ford Foundation,2017/11/12,,,,,,,,,,,,,,,,,,
